;;;Onderhoudsrapport;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;BCO Brandpreventie;;;;;;;;;;;;;;;
;;;Galliershof 22;;;;;;;;;;;;;;;
;;;5349 BV Oss;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Klant: Kemkens;;;Naam monteur: J. Nederkoorn;;;;;;;;;;;;;;;
Locatie: Golfslagbad;;;Datum: Sept. 2015;;;;;;;;;;;;;;;
Adres: Euterpelaan 1, Oss;;;Complexnr: 900689;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;;;;;;;;;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);;;;;;;;;
67;Kelder;Technische ruimte nieuw zwembad;Tapkraan;EA;;Tegen muur;JA;Ø22;Knel;;;;;;;;;
68;BG;Technische ruimte nieuw zwembad;Circulatiepomp;EA;EA;Naast boiler;JA;Ø28;Knel;;;;;;;;;
69;BG;Technische ruimte nieuw zwembad;Circulatiepomp;EA;EA;Naast boiler;JA;Ø15;Knel;;;;;;;;;
70;BG;Douche heren nieuw bad;Mengventiel;EA;EA;In plafond douche;JA;Ø15;Knel;;;;;;;;;
71;BG;Douche heren nieuw bad;Mengventiel;EA;EA;In plafond douche;JA;Ø15;Knel;;;;;;;;;
73;BG;Nieuw bad;Mengventiel;EA;EA;In plafond douche;JA;Ø22;Knel;;;;;;;;;
73a;BG;Nieuw bad;Mengventiel;EA;EA;In plafond douche;NEE;Ø22;Knel;;;;;;;;;
74;BG;Douche entree bad;Mengventiel kw;EA;EA;In plafond douche;JA;Ø28;Knel;;;;;;;;;
75;BG ;Douche entree bad;Mengventiel ww;EA;EA;In plafond douche;JA;Ø35;Knel;;;;;;;;;
76;BG;Lesbad;Mengventiel kw;EA;EA;In plafond douche;JA;Ø28;Knel;;;;;;;;;
77;BG;Douches lesbad;Mengventiel ww;EA;EA;In plafond douche;JA;Ø28;Knel;;;;;;;;;
78;BG;Technische ruimte groot;CV vulpunt;CA;;te controleren;JA;1/2;Schroef;;;;;;;;;
79;BG;Technische ruimte instructiebad;Voeding boiler;EA;;Voor boiler;JA;Ø54;Cap;;;;;;;;;
80;BG;TD ruimte groot ketelhuis;Waterontharder;CA;;Bij trap;JA;Ø15;Knel;;;;;;;;;
;;;;;;;;;;;;;;;;;;
keerklep :;;opmerking :;;;;;;;;;;;;;;;;
;57;afsluiter + Aftapper plaatsen voor CA klep;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
