;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Woningbouw bedrijf Mooiland;;;Datum: sept. 2015;;;;;;
Adres: Grave;;;Complexnr: Kantoor Mooiland;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;2e;Technische ruimte;Vulkraan;DA + MU;CA;;JA;15;
2;2e;Technische ruimte;Ontharder;CA;CA;;JA;;
3;2e;Keukenblokje pantry;Aansluiting voor waterchiller;EA;EA;;JA;;
4;2e;Keukenblokje pantry;Koffieautomaat;EA;EA;;JA;;
5;2e;Keukenblokje pantry;Boiler;Inlc;Inlc;;JA;;
6;2e;Hal;BSH;EA;EA;;JA;22;
7;2e;Poetshok;Boiler;Inlc;Inlc;;JA;;
8;2e;Hal;BSH;EA;EA;;JA;22;
9;2e;Hal;BSH;EA;EA;;JA;22;
10;2e;Technische ruimte;Vul/ontgas automaat;EA;EA;;JA;15;
11;2e;Technische ruimte;Vulkraan;CA;CA;;JA;;
12;2e;Pantry;Koffieautomaat;EA;EA;;JA;;
13;2e;Pantry;Waterkoeler;EA;EA;;JA;;
14;2e;Pantry;Boiler;Inlc;Inlc;;JA;;
15;2e;Hal strang;BSH;EA;EA;Opmerking: keerkleppen 15, 24 en 33 zitten op één strang;JA;;
16;2e;Pantry;Koffieautomaat;EA;EA;;JA;;
17;2e;Pantry;Aansluiting voor waterkoeler;EA;EA;;JA;;
18;2e;Poetshok;Boiler;Inlc;Inlc;;JA;;
19;2e;Poetskast;Circulatie pomp;-;EA;;JA;15;
20;2e;Hal;BSH;EA;EA;;JA;22;
21;1e;Pantry;Koffieautomaat;EA;EA;;JA;;
22;1e;Pantry;Aansluiting voor waterkoeler;EA;EA;;JA;15;
23;1e;Boiler;Boiler;Inlc;Inlc;;JA;;
24;1e;Hal;BSH;EA;EA;Opmerking: keerkleppen 15, 24 en 33 zitten op één strang;JA;;
25;1e;Pantry;Koffieautomaat;EA;EA;;JA;;
26;1e;Pantry;Koffieautomaat;EA;EA;;JA;;
27;1e;Pantry;Boiler;Inlc;Inlc;;JA;;
28;1e;Hal;BSH;EA;EA;;JA;28;
29;1e;Deur naast bsh;Boiler;Inlc;Inlc;;JA;;
30;1e;Deur naast bsh;Tapkraan;EA;EA;;JA;1/2;WM
31;BG;Pantry;Koffieautomaat;DA;EA;;JA;3/4;
33;BG;Hal;BSH;EA;EA;Opmerking: keerkleppen 15, 24 en 33 zitten op één strang;JA;;
35;BG;Container ruimte;Boiler;Inlc;Inlc;;JA;;
36;BG;Container ruimte;Circulatie pomp;-;EA;;JA;15;
37;BG;Container ruimte;Tapkraan;;EA;;JA;3/4;
38;BG;Container ruimte;Thermostaat;-;EA;;JA;3/4;
39;BG;Keuken;Kniedouche warm;-;EA;;JA;3/8;
40;BG;Keuken;Kniedouche koud;-;EA;;JA;3/8;
41;BG;Keuken;Koffieautomaat;-;EA;;JA;3/8;
42;BG;Spoelkeuken;Vaatwasser;CA;CA;;JA;;
43;BG;Spoelkeuken;Knijpdouche ww;-;EA;;JA;3/8;
44;BG;Spoelkeuken;Knijpdouche kw;-;EA;;JA;3/8;
45;BG;Keuken ;Steamer;EA;EA;;JA;3/4;
46;BG;Serveer keuken;Spoelkraan;EA;EA;;JA;3/4;
47;BG;Restaurant;BSH;EA;EA;Opmerking: kop brandslanghaspel lekt;onbekend;28;
48;BG;Kast naast receptie;Boiler;Inlc;Inlc;;JA;;
49;BG;Hal bij receptie;BSH;EA;EA;;JA;;
