Monteur : M Gutte;;
Adres       : Ark 24 en 26;;
;;
Locatie;Tappunt;Temp.
Kamer 14A;Keukenmengkraan;37,2 C°
Kamer 14B;Wastafelmengkraan;43,4 C°
Kamer 12;Uitstortgootsteen;36,2 C°
Kamer 23;Wastafelmengkraan;39,0 C°
;Badmengkraan;39,2 C°
Kamer 4;Wastafelmengkraan;38,8 C°
Kamer 1;Wastafelmengkraan;36,8 C°
Kamer 2;Wastafelmengkraan;37,5 C°
Kamer 3;Wastafelmengkraan;38,3 C°
Kamer 15;Wastafelmengkraan;39,8 C°
Kamer 40;Wastafelmengkraan;39,2 C°
Kamer 39;Wastafelmengkraan;39,7 C°
;Douchemengkraan;40,0 C°
Kamer 25;Wastafelmengkraan;38,3 C°
Kamer 26;Wastafelmengkraan;36,6 C°
Kamer 27;Wastafelmengkraan;37,5 C°
Kamer 40;Wastafelmengkraan;36,7 C°
Kamer 31;Wastafelmengkraan;36,9 C°
;Douchemengkraan;38,9 C°
Kamer 30;Wastafelmengkraan;36,2 C°
Kamer 29;Wastafelmengkraan;38,4 C°
Kamer 28;Wastafelmengkraan;37,1 C°
Kamer 4;Wastafelmengkraan;36,1 C°
Kamer 5;Wastafelmengkraan;37,2 C°
Kamer 6;Wastafelmengkraan;38,1 C°
