Monteur : M Gutte;;
Adres       : Hulst 6 en 8;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;52,1 C°
Wasruimte;Uitstortgootsteen;52,0 C°
Badkamer 6;Wastafelmengkraan;40,0 C°
;Douchemengkraan;39,1 C°
;Badmengkraan;38,7 C°
Badkamer 8;Wastafelmengkraan;36,2 C°
;Douchemengkraan;38,9 C°
;Badmengkraan;39,2 C°
Minder Valide 8;Wastafelmengkraan;38,5 C°
;Douchemengkraan;39,2 C°
Minder Valide 6;Wastafelmengkraan;38,6 C°
;Douchemengkraan;39,6 C°
Kamer A10;Wastafelmengkraan;40,0 C°
Kamer A11;Wastafelmengkraan;39,0 C°
Kamer A12;Wastafelmengkraan;44,2 C°
Kamer A13;Wastafelmengkraan;38,9 C°
Kamer A14;Wastafelmengkraan;42,4 C°
Kamer A15;Wastafelmengkraan;39,7 C°
Kamer B10;Wastafelmengkraan;36,2 C°
Kamer B11;Wastafelmengkraan;39,2 C°
Kamer B12;Wastafelmengkraan;38,8 C°
Kamer B13;Wastafelmengkraan;39,9 C°
Kamer B14;Wastafelmengkraan;40,1 C°
Kamer B15;Wastafelmengkraan;43,8 C°
;;
