Monteur : M Gutte;;
Adres       : De Plank 82;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;44,2 C°
;Wastrog;37,2 C°
Lokaal 1;Wastrog;41,0 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
