Monteur : M Gutte;;
Adres       : Aangelag 19;;
;;
Locatie;Tappunt;Temp.
Kamer 1.3;Wastafelmengkraan;39,1 C°
;Badmengkraan;37,3 C°
Kamer 1.7;Wastafelmengkraan;39,2 C°
;Douchemengkraan;38,0 C°
Kamer 1.5;Wastafelmengkraan; 41,2 C°
;Douchemengkraan;38,0 C°
Kamer 1.3;Wastafelmengkraan;39,8 C°
;Douchemengkraan;39,7 C°
Keuken;Keukenmengkraan;43,5 C°
Kamer 0.17;Wastafelmengkraan;40,1 C°
;Douchemengkraan;38,7 C°
Kamer 0.19;Wastafelmengkraan;39,7 C°
;Douchemengkraan;37,4 C°
Kamer 0.22;Wastafelmengkraan;43,1 C°
;Douchemengkraan;39,1 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
