Monteur : M Gutte;;
Adres       : Nieuwe kerkstraat 46 B;;
;;
Locatie;Tappunt;Temp.
Kamer 04.A ;Keukenmengkraan;38,2 C°
Kamer 0.8;Wastafelmengkraan;38,8 C°
;Douchemengkraan;39,2 C°
Kamer 0.6;Wastafelmengkraan;38,7 C°
;Douchemengkraan;39,2 C°
Kamer 0.12;Wastafelmengkraan;40,2 C°
;Douchemengkraan;39,9 C°
Kamer 0.14;Wastafelmengkraan;36,7 C°
;Douchemengkraan;39,2 C°
Kamer 0.9;Uitstortgootsteen;38,1 C°
1e verd. Kamer 1.2;Wastafelmengkraan;52,1 C°
;Douchemengkraan;39,0 C°
1e verd. Kamer 1.5;Wastafelmengkraan;38,8 C°
;Douchemengkraan; 38,7 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
