Monteur : M Gutte;;
Adres       : Christinalaan 3 BG;;
;;
Locatie;Tappunt;Temp.
Kamer 0.06;Wastafelmengkraan;41,0 C°
Kamer 0.16;Wastafelmengkraan;39,0 C°
;Douchemengkraan;38,4 C°
Kamer 0.12;Wastafelmengkraan;37,3 C°
;Douchemengkraan; 38,1 C°
Kamer 0.14;Wastafelmengkraan;39,0 C°
;Douchemengkraan;39,2 C°
Kamer 0.20c;Wastafelmengkraan;37,2 C°
;Douchemengkraan;39,0 C°
;Badmengkraan;38,1 C°
Kamer 0.18;Wastafelmengkraan;40,7 C°
Kamer 0.19;Uitstortgootsteen;39,0 C°
Kamer 0.20D;Douchemengkraan;36,6 C°
;Badmengkraan;37,2 C°
Kamer 0.16;Wastafelmengkraan;41,3 C°
;Douchemengkraan;37,2 C°
Kamer 0.14;Wastafelmengkraan;36,2 C°
;Douchemengkraan;38,6 C°
Kamer 0.12;Wastafelmengkraan;38,2 C°
;Douchemengkraan;38,3 C°
Kamer 0.06;Wastafelmengkraan;38,2 C°
;;
;;
;;
;;
