Monteur : M Gutte;;
Adres       : Heikantsebaan 38;;
;;
Locatie;Tappunt;Temp.
Slaapkamer;Wastafelmengkraan;40,4 C°
Grote Badkamer;Wastafelmengkraan;38,2 C°
;Douchemengkraan;38,3 C°
Slaapkamer;Wastafelmengkraan;41,4 C°
;Douchemengkraan;37,5 C°
Slaapkamer ;Wastafelmengkraan;36,8 C°
Slaapkamer 1e verd.;Wastafelmengkraan;44,2 C°
;Douchemengkraan;37,4 C°
Slaapkamer 1e verd.;Wastafelmengkraan;38,5 C°
;Douchemengkraan;34,0 C°
Slaapkamer 1e verd.;Wastafelmengkraan;39,2 C°
;Douchemengkraan;38,4 C°
Keuken;Keukenmengkraan;38,7 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
