Monteur : M Gutte;;
Adres       : Heikantsebaan 40;;
;;
Locatie;Tappunt;Temp.
Slaapkamer;Wastafelmengkraan;38,2 C°
;Douchemengkraan;37,1 C°
Grote Badkamer;Wastafelmengkraan;37,2 C°
;Douchemengkraan;39,1 C°
Slaapkamer;Wastafelmengkraan;39,0 C°
Slaapkamer 1e verd.;Wastafelmengkraan;38,0 C°
;Douchemengkraan;38,2 C°
Slaapkamer 1e verd.;Wastafelmengkraan;37,2 C°
;Douchemengkraan;39,2 C°
Slaapkamer 1e verd.;Wastafelmengkraan;42,3 C°
;Badmengkraan;39,5 C°
Keuken;Keukenmengkraan;39,2 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
