Monteur : M Gutte;;
Adres       : Margrietstraat 33 BG;;
;;
Locatie;Tappunt;Temp.
Kamer 16;Wastafelmengkraan;39,5 C°
;Douchemengkraan;38,0 C°
Kamer 20;Wastafelmengkraan;39,2 C°
;Douchemengkraan;37,9 C°
Kamer 12;Wastafelmengkraan;39,0 C°
;Douchemengkraan;46,1 C°
Kamer 14;Wastafelmengkraan;37,0 C°
;Douchemengkraan;41,2 C°
Kamer 19;Uitstortgootsteen;36,4 C°
Kamer 16;Wastafelmengkraan;38,4 C°
;Douchemengkraan;48,8 C°
Kamer 14;Wastafelmengkraan;38,4 C°
;Douchemengkraan;46,1 C°
Kamer 12;Wastafelmengkraan;39,0 C°
;Douchemengkraan;45,0 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
