Monteur : M Gutte;;
Adres       : Ark 28-30;;
;;
Locatie;Tappunt;Temp.
Kamer 12;Uitstortgootsteen;35,7 C°
Kamer 11;Wastafelmengkraan;35,0 C°
;Douchemengkraan;38,9 C°
Kamer 10;Wastafelmengkraan;34,0 C°
;Badmengkraan;39,4 C°
Kamer 14A;Keukenmengkraan;37,0 C°
Kamer 1;Wastafelmengkraan;38,2 C°
Kamer 2;Wastafelmengkraan;36,2 C°
Kamer 3;Wastafelmengkraan;33,7 C°
Kamer23;Wastafelmengkraan;43,2 C°
;Badmengkraan;39,2 C°
Kamer 4;;C°
Kamer 5;Wastafelmengkraan;30,9 C°
Kamer 6;Wastafelmengkraan;39,0 C°
Kamer 14B;Keukenmengkraan;41,2 C°
Kamer 28;Wastafelmengkraan;39,2 C°
Kamer 29;Wastafelmengkraan;36,4C°
Kamer 30;Wastafelmengkraan;37,4 C°
Kamer 40;Wastafelmengkraan;36,6 C°
Kamer 15;Wastafelmengkraan;37,9 C°
Kamer 25;Wastafelmengkraan;36,3 C°
Kamer 26;Wastafelmengkraan;31,4 C°
Kamer 27;Wastafelmengkraan;41,3 C°
Kamer 39;Wastafelmengkraan;36,1 C°
;Douchemengkraan;38,4 C°
