Monteur : M Gutte;;
Adres       : Borghoutspark 35;;
;;
Locatie;Tappunt;Temp.
Spelen papier;Wastrog;42,0 C°
Keuken;Keukenmengkraan;36,4 C°
Mozaiek;Wastrog;36,2 C°
Lokaal 8;Wastrog;38,1 C°
Lokaal 7;Wastrog;39,6 C°
Keuken gang;Keukenmengkraan;39,5 C°
Lokaal 4;Wastrog;37,6 C°
Lokaal 11;Wastafelmengkraan;39,2 C°
;Douchemengkraan;40,8 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
