Monteur : M Gutte;;
Adres       : Libra 14;;
;;
Locatie;Tappunt;Temp.
Spoelruimte;Uitstortgootsteen;39,8 C°
Keuken;Keukenmengkraan;40,6 C°
Keuken;Spoelkraan;40,2 C°
Bakkerrij;Wastrog;36,8 C°
Bakkerij;Wastrog;38,8 C°
Repro;Wastrog;36,7 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
