Monteur : M Gutte;;
Adres       : Nieuwe kerkstraat 44 en platanenlaan 1;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;43,7 C°
Spoelruimte;Uitstortgootsteen;62,1 C°
;Wastafelmengkraan;39,7 C°
Badkamer Rechts;Wastafelmengkraan;39,1 C°
;Douchemengkraan;41,5 C°
Badkamer links;Wastafelmengkraan;40,3 C°
;Douchemengkraan;38,1 C°
Douche rechts;Wastafelmengkraan;38,4 C°
;Douchemengkraan;37,4 C°
Douche links;Wastafelmengkraan;36,7 C°
;Douchemengkraan;39,5 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
