Monteur : M Gutte;;
Adres       :  Koepel 3;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;45,7 C°
Wasruimte;Wastafelmengkraan;30,6 C°
Kamer 12;Wastafelmengkraan;37,7 C°
Kamer 11;Wastafelmengkraan;41,8 C°
Kamer 10;Wastafelmengkraan;43,1 C°
Kamer 6;Wastafelmengkraan;41,9 C°
;Douchemengkraan;39,0 C°
Kamer 9;Wastafelmengkraan;38,9 C°
Kamer 1.3;Wastafelmengkraan;46,1 C°
;Badmengkraan;40,3 C°
;Douchemengkraan;39,8 C°
Kamer 1.7;Wastafelmengkraan;46,2 C°
Kamer 1.6;Wastafelmengkraan;42,7 C°
Kamer 1.5;Wastafelmengkraan;47,6 C°
Kamer 1.4;Wastafelmengkraan;38,5 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
