Monteur : M Gutte;;
Adres       : Honk 5 en 3;;
;;
Locatie;Tappunt;Temp.
Kamer 30;Wastafelmengkraan;38,4 C°
;Douchemengkraan;39,2 C°
Kamer 28;Wastafelmengkraan;38,4 C°
Kamer 26;Wastafelmengkraan;57,4 C°
;Uitstortgootsteen;48,5 C°
Kamer 24;Wastafelmengkraan;37,3 C°
;Douchemengkraan;40,5 C°
Kamer 30;Wastafelmengkraan;38,2 C°
;Douchemengkraan;39,9 C°
Kamer 20;Keukenmengkraan Links;46,2 C°
;Keukenmengkraan Rechts;42,2 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
