Monteur : M Gutte;;
Adres       : Nieuwe Kerkstraat 35 - 37;;
;;
Locatie;Tappunt;Temp.
Badkamer groot 37.09;Badmengkraan;40,0 C°
Badkamer klein;Wastafelmengkraan;34,0 C°
;Douchemengkraan;38,0 C°
Badkamer groot;Wastafelmengkraan;40,3 C°
Badkamer groot links;Wastafelmengkraan;38,0 C°
;Badmengkraan;40,2 C°
;Douchemengkraan;41,0 C°
Badkamer klein links;Wastafelmengkraan;46,0 C°
;Douchemengkraan;40,2 C°
Keuken;Keukenmengkraan;38,6 C°
;Uitsotortgootsteen;39,9 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
