Monteur : M Gutte;;
Adres       : Berg 96;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;59,2 C°
Slaapkamer 0.6;Wastafelmengkraan;37,4 C°
;Douchemengkraan;38,9 C°
Slaapkamer 0.5;Wastafelmengkraan;36,2 C°
;Douchemengkraan;39,1 C°
Slaapkamer 0.4;Wastafelmengkraan;38,6 C°
;Douchemengkraan;38,1 C°
Kamer 17;Wastafelmengkraan;38,0 C°
;Douchemengkraan;39,1 C°
Kamer 16;Wastafelmengkraan;40,8 C°
;Douchemengkraan;38,1 C°
Kamer 14;Wastafelmengkraan;39,9 C°
;Douchemengkraan;38,1 C°
Kamer 15;Wastafelmengkraan;39,5 C°
;Douchemengkraan;38,9 C°
Kamer 22;Wastafelmengkraan;39,1 C°
;Douchemengkraan;38,4 C°
Kamer 20;Wastafelmengkraan;41,9 C°
;Douchemengkraan;38,6 C°
Kamer 21;Wastafelmengkraan;38,5 C°
;Douchemengkraan;37,1 C°
;;
;;
;;
;;
