Monteur : M Gutte;;
Adres       : Heikantsebaan 46;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;36,7 C°
Badkamer groot;Wastafelmengkraan;41,9 C°
;Douchemengkraan;39,2 C°
Slaapkamer;Wastafelmengkraan;42,0 C°
;Douchemengkraan;39,1 C°
Slaapkamer;Wastafelmengkraan;39,8 C°
Slaapkamer 1e verd.;Wastafelmengkraan;40,0 C°
;Douchemengkraan;38,2 C°
Slaapkamer 1e verd.;Wastafelmengkraan;38,0 C°
;Douchemengkraan;39,2 C°
Slaapkamer 1e verd.;Wastafelmengkraan;37,2 C°
;Douchemengkraan;38,9 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
