;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;J. Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;PI Vught - Gebouw 92;;Datum:;Week 22 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501, Vught;;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;TD hal kantoor;Smeba;MF 60;schuim;2010;;;a;B92.011;;;
2;Gang kantoor TD;Saval;BSH 20 m;water;2002;2013;36 l/min;a;H92.007;;;
3;TD houtwerkplaats;Smeba;MF 60;schuim;2011;;;a;B92.012;;;
4;TD houtwerkplaats;Saval;BSH 20 m;water;2002;2012;38 l/min;a;H92.008;;;
5;TD opslag tractor;Smeba;MF 60;schuim;2012;;;a;B92.013;;;
5a;TD opslag steiger;Gloria;BSH 20 m;water;2002;2012;40 l/min;a;H92.009;;;
6;TD werkplaats;Saval;BSH 20 m;water;2005;2012;44 l/min;a;H92.009;;;
7;TD werkplaats;Gloria;ks 5 se;CO2;2003;;;a;B92.014;;;
8;Magazijn groot;Saval;BSH 20 m;water;2002;;;a;H92.010;;;
9;Magazijn groot bij kantoor;Smeba;MF 60;schuim;2012;;;a;B92.017;;;
10;Werkplaats magazijn;Euro-fire;BSH 20 m;water;2008;2013;32 l/min;a;H92.011;;;
11;Werkplaats magazijn;Smeba;MF 60;schuim;2010;;;a;B92.018;;;
12;Achteringang garage;BCO;EFS 6;schuim;2013;;;a;B92.001;;;
13;Magazijn klein;BCO;EFS 6;schuim;2013;;;a;B92.015;;;
14;Garage vrachtauto;BCO;EFS 6;schuim;2013;;;a;B92.020;;;
15;Visitatie opslag;BCO;EFS 6;schuim;2013;;;a;B92.019;;;
16;Buiten container;Smeba;MP 6;poeder;2013;;;a;B92.021;;;
17;Magazijn tussendeur;Smeba;MF 60;schuim;2012;;;a;B92.016;;;
18;Opslag 2 roldeur R;BCO;EFS 6;schuim;2013;;;a;B92.008;;;
19;Opslag 2 roldeur R;Saval;BSH 20 m;water;2002;2012;40 l/min;a;H92.004;;;
20;Opslag 2 roldeur L;Saval;BSH 20 m;water;2002;2012;40 l/min;a;H92.003;;;
21;Opslag 2 roldeur L;BCO;EFS 6;schuim;2013;;;a;B92.007;;;
22;Opslag hout;Smeba;MF 60;schuim;2012;;;a;B92.010;;;
23;Opslag hout;Saval;BSH 20 m;water;2002;2012;36 l/min;a;H92.006;;;
24;Opslag hout;Saval;BSH 20 m;water;2002;2012;38 l/min;a;H92.005;;;
25;Opslag hout;BCO;EFS 6;schuim;2013;;;a;B92.009;;;
26;Opslag 1 roldeur;BCO;EFS 6;schuim;2013;;;a;B92.005;;;
27;Opslag 1 roldeur;Saval;BSH 20 m;water;2002;2012;40 l/min;a;H92.002;;;
28;Opslag 1 roldeur;Euro-fire;BSH 20 m;water;2008;2013;38 l/min;a;H92.001;;;
29;Opslag 1 roldeur;Smeba;MF 60;schuim;2010;;;a;B92.004;;;
30;Tussen deur TD;BCO;EFS 6;schuim;2013;;;a;B92.006;;;
31;TD ruimte 92.003;BCO;EFS 6;schuim;2013;;;a;B925.001;;;
32;TD ruimte 92.004;BCO;EFS 6;schuim;2013;;;a;B92.002;;;
34;In TD ruimte 1e verd;Smeba;MC5E;CO2;2011;;;a;B92.101;;;
35;TD ruimte 1e verd;Gloria;ks 5 se;CO2;2003;;;a;B92.102;;;
36;In cv ruimte;Saval;AK5;CO2;2003;;;a;B92.003;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
