;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;J. Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;P.I. Vught - gebouw 50-51 visitatie + 70;;Datum:;Week 26, 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501;;Complexnr: ;Gebouw 50: 100191G01;;;;;;;;
;;;;Gebouw 51: 100191G33;;;;;;;;
;;;;Gebouw 70: 100191G12;;;;;;;;
;;;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;Waskeuken kantoor;Gloria;KS5SE;CO2;1996;;;a;B50.009;;;
2;Keuken kantine;RH blusser;Slw6D;schuim;2012;;;a;B50.008;;;
3;Keuken ;Ajax;BSH 25 m;water;onbekend;2013;36 l/min;a;H50.005;;;
4;Visitatie transport;Ajax;BSH 20 m;water;2009;2014;32 l/min;a;H50.004A;;;
5;Visitatie douche;Ajax;BSH 25 m;water;onbekend;2013;36 l/min;a;H50.007;;;
6;Visitatie inkomst;Ajax;BSH 20 m;water;2009;2014;36 l/min;a;;;;
7;Ingang transport;Ajax;BSH 25 m;water;onbekend;2013;32 l/min;a;H50.006;;;
8;Visitatie magazijn;Ajax;BSH 25 m;water;onbekend;2013;32 l/min;a;H50.004;;;
9;Visitatie magazijn;RH blusser;Slw6D;schuim;2012;;;a;B50.006;;;
10;Gang ambt. Bez. Ged.;Ajax;BSH 25 m;water;onbekend;2013;36 l/min;a;H50.010;;;
11;Gang BZT 1e verd;Saval;BSH 20 m;water;1996;2013;32 l/min;a;H50.101;;;
12;Bipo entree;BCO;EFS6;schuim;2013;;;a;B50.005;;;
13;Gang kantine;Ajax;BSH 20 m;water;onbekend;2013;36 l/min;a;H50.009;;;
14;Gang kantine;Saval;BSH 20 m;water;1996;2013;36 l/min;a;H50.011;;;
15;Kantine keuken;Gloria;KS 2 SBS;CO2;2006;;;a;B50.002;;;
16;Kantine keuken;Gloria;KS 2 SBS;CO2;2006;;;a;B50.001;;;
17;Verg. ruimte kantine;Saval;BSH 20 m;water;1995;2013;36 l/min;a;H50.001;;;
18;Bezoekruimte;Ajax;BSH 25 m;water;onbekend;2013;36 l/min;a;H50.002;;;
19;Doorgang bezoek;naamloos;BSH 20 m;water;onbekend;2013;32 l/min;a;H50.003;;;
20;Centrale post BG;RH blusser;AC 5 B;CO2;2013;;;a;B50.004;;;
21;Boven CP technische ruimte;RH blusser;AC 5 B;CO2;2013;;;a;B50.102;;;
22;Ingang kader complex;Saval;BSH 20 m;water;2001;2013;36 l/min;a;H51.001;;;
23;Gang 1e verd;Saval;BSH 20 m;water;2001;2013;38 l/min;a;H51.103;;;
24;Gang 1e verd;Saval;BSH 20 m;water;2001;2013;36 l/min;a;H51.102;;;
25;Doorloop 1e verd kader;Saval;BSH 20 m;water;2001;2013;36 l/min;a;H51.101;;;
26;Gang 1e verd kader;Gloria;BSH 20 m;CO2;2002;;;a;B51.101;;;
27;Gang 1e verd kader;RH blusser;KS5SE;schuim;2013;;;a;B51.102;;;
28;Admi. Gang 1e verd;Saval;Slw6D;water;1998;2013;32 l/min;a;H70.101.;;;
29;Admi. Gang 1e verd;Smeba;MF60;schuim;2012;;;a;B70.101;;;
30;Kantoor sport;Smeba;MF60;schuim;2012;;;a;B70.002;;;
31;Hal sport unit 2;Ajax;BSH 20 m;water;1998;2013;32 l/min;a;H70.003;;;
32;Douche sport unit 2;Gloria;BSH 20 m 1/2";water;1998;2013;16 l/min;a;H70.001;;;
33;Douche sport unit 2;Saval;BSH 20 m 1/2";water;1998;2013;18 l/min;a;H70.002;;;
34;Gang medische dienst;Saval;BSH 20 m;water;1998;2013;28 l/min;a;H70.004;;;
35;Tandarts m.d.;Smeba;MC5E;CO2;2012;;;a;B70.003;;;
36;Bevolking;Saval;BSh 20 m;water;1998;2013;34 l/min;a;H70.005;;;
37;Bevolking kantoor;Smeba;MC5E;CO2;2012;;;a;B70.001;;;
38;Toilet bevolking;Saval;BSH 20 m;water;1998;2013;32 l/min;a;H70.006;;;
39;Personeelskleedruimte;Saval;BSH 20 m;water;1998;2013;36 l/min;a;H70.007;;;
40;TD boven keuken;RH blusser;AC 5 B;CO2;2013;;;a;;;;
41;Post voor terrein;Gloria;PD 6 GA;poeder;2006;;;a;;;;
42;Cepo 4;RH blusser;Slw6D;schuim;2013;;;a;;;;
43;Noodstroom aggregaat;Gloria;KS5SE;CO2;2013;;;a;;;;
44;Personeels in=uitgang;Ajax;BSH 25 m;water;;2013;32 l/min;a;H50.008;;;
45;Bezoek in-uit;Smeba;MF60;schuim;2011;;;a;;;;
46;Ketelhuis;Smeba;MF60;schuim;2011;;;a;;;;
47;Ketelhuis;RH blusser;AC5B;CO2;2013;;;a;;;;
48;Ketelhuis;RH blusser;Slw6D;schuim;2013;;;a;;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;7x Blusdeken;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
