;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;John Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;P.I. Vught - Unit 1;;Datum:;Week 21 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501, Vught;;Complexnr: ;100191G13;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;medische dienst;Smeba;MF 60;schuim;2010;;;a;B40.005;;;
2;gang 1E;Euro-Fire;BSH 25 m;water;2008;2013;28 l/min;a;H40.002;;;
3;kantoor 1E;Smeba;MF 60;schuim;2010;;;a;B40.004;;;
4;gang 1D;Smeba;BSH 25 m;water;2012;2012;32 l/min;×;H42.003;;;
5;kantoor 1D;Smeba;MF 60;schuim;2010;;;a;B42.002;;;
6;iso CS;Euro-Fire;BSH 25 m;water;2008;2013;32 l/min;a;H42.002;;;
7;gang 1I;Ajax;BSH 25 m;water;1986;2013;28 l/min;a;H42.001;;;
8;kantoor 1I;Smeba;MF 60;schuim;2011;;;a;B42.001;;;
9;gang 1H;Ajax;BSH 25 m;water;1986;2013;28 l/min;a;H40.001;;;
10;kantoor 1H;Smeba;MF 60;schuim;2010;;;a;B40.003;;;
11;bipo achter ingang;Smeba;MC5E;co2;2012;;;a;B40.002;;;
12;bipo kantoor;Smeba;MC5E;co2;2012;;;a;B40.001;;;
13;kantoor A;Smeba;MF 60;schuim;2010;;;a;B40.101;;;
14;directie kantoor;Smeba;MF 60;schuim;2010;;;a;B40.102;;;
15;directie gang;Smeba;MF 60;schuim;2010;;;a;B40.103;;;
16;directie gang;Smeba;MF 60;schuim;2010;;;a;B40.104;;;
17;gang A;Ajax;BSH 25 m;water;1986;2013;36 l/min;a;H40.101;;;
18;gang 1B;Euro-Fire;BSH 25 m;water;2008;2013;38 l/min;a;H42.103;;;
19;kantoor 1B;Smeba;MF 60;schuim;2010;;;a;B42.103;;;
20;werkopslag 1B;Smeba;MF 60;schuim;2011;;;a;B42.103;;;
21;cellengang 1C;Euro-Fire;BSH 25 m;water;2008;2013;36 l/min;a;H42.102;;;
22;kantoor 1C;Smeba;MF 60;schuim;2010;;;a;B42.102;;;
23;keuken 1C;Smeba;MF 60;schuim;2010;;;a;B42.104;;;
24;gang 1F;Ajax;BSH 25 m;water;1986;2013;32 l/min;a;H42.101;;;
25;kantoor 1F;Smeba;MF 60;schuim;2010;;;a;B42.101;;;
26;gang 1G;Ajax;BSH 25 m;water;1986;2013;36 l/min;a;H40.103;;;
27;kantoor 1G;Smeba;MF 60;schuim;2010;;;a;B40.105;;;
28;archief;Ajax;BSH 25 m;water;1986;2013;32 l/min;a;H40.102;;;
31;zolder bij ketelhuis;Ajax;BSH 25 m;water;1986;2013;34 l/min;a;H40.203;;;
32;zolder bij ketelhuis;BCO;MC 5;co2;2013;;;a;B40.201;;;
33;zolder duivenhok;Ajax;BSH 25 m;water;1986;2013;32 l/min;a;H40.204;;;
34;zolder TD ruimte;BCO;MC 5;co2;2013;;;a;H42.201;;;
35;zolder boven A;Ajax;BSH 25 m;water;1988;2013;36 l/min;a;H40.202;;;
36;zolder boven C;Ajax;BSH 25 m;water;1986;2013;32 l/min;a;H40.201;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;5x Blusdeken;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
