;;;Onderhoudsrapport;;;;;;;
;;;;;;;;;;
;;;BCO Brandpreventie;;;;;;;
;;;Galliershof 22;;;;;;;
;;;5349 BV Oss;;;;;;;
;;;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;;
Locatie: Kinderboerderij Elzenhoek;;;Datum: December, 2015;;;;;;;
Adres: Anna van Schuurmanstraat 602;;;Complexnr: ;;;;;;;
;;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;;Dienstgebouw;Gevelkraan;;EA;;a;;;
2;;Dienstgebouw;Gevelkraan;;EA;;a;;;
3;;Dienstgebouw;Hydrofoor;EA;EA;In Kastje;a;ø22;Knel;
4;;Dienstgebouw;Boiler;EA;EA;Onder Kast;a;ø15;Knel;
5;;Dienstgebouw;Boiler;EA;EA;Onder Spoelkraan;a;ø15;Knel;
6;;Wespenhuisje;Tapkraan;EA;EA;In Hoek Kastje;a;ø15;Knel;
7;;Kinderboerderij;KW Toevoer;EA;EA;Meterkast;a;ø22;Knel;
8;;Kinderboerderij;Drinkbak;EA;EA;Boven wasbak;a;;;
9;;Kinderboerderij;Gevelkraan Links;;EA;Boven Wasbak;a;ø15;Knel;
10;;Kinderboerderij;Gevelkraan Rechts;;EA;Boven Wasbak;a;;;
11;;Vogelhuisje;KW Toevoer;EA;EA;Midden in Gang;a;ø22;Knel;
12;;Schapen stal links;KW Toevoer;EA;EA;In Hoek van stal;a;ø22;Knel;
13;;Geiten stal Rechts;KW Toevoer;EA;EA;In Hoek van stal;a;ø15;Knel;
14;;Hoofdgebouw rechts;CV Vulkraan Rechts;;CA;Zolder;a;1/2'';Schroef;
15;;Hoofdgebouw rechts;Tapkraan Rechts;;EA;Zolder;a;1/2'';Schroef;
16;;Hoofdgebouw rechts;Inlaat combinatie;EA;EA;Zolder;a;ø15;Knel;
17;;Hoofdmeterkast;KW Toevoer;EA;EA;Meterkast;a;ø22;Knel;
18;;Hoofdmeterkast;KW Toevoer;EA;EA;Meterkast;a;ø22;Knel;
19;;Hoofdgebouw Links;CV Vulkraan;CA;CA;CV Ruimte;a;1/2'';Schroef;
20;;Hoofdgebouw Links;Inlaat combinatie;EA;EA;CV Ruimte;a;ø15;Knel;
21;;Grote Keuken;Koffie Aparaat;EA;EA;In Kast;a;3/4'';Schroef;
22;;Vergaderruimte;Koffie Aparaat;EA;EA;In Kast;a;3/4'';Schroef;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
