;;;Onderhoudsrapport;;;;;;;
;;;;;;;;;;
;;;BCO Brandpreventie;;;;;;;
;;;Galliershof 22;;;;;;;
;;;5349 BV Oss;;;;;;;
;;;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;;
Locatie: Dorpshuis Vidi-Reo;;;Datum: November, 2015;;;;;;;
Adres: Van Kesselplaats 2 Ravenstein;;;Complexnr: ;;;;;;;
;;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;;Zaal klein;VW;EA;;;JA;3/4;schroef;
2;;Zaal klein;boiler;EA;;;JA;Ø15;knel;
3;;Hal;BSH;;;;NEE;;;
4;;Hal;cv ketel vulkraan;EA;;;JA;3/4;schroef;
5;;Heren wc;kw kraan;;EA;;JA;3/4;schroef;
8;;Keuken;VW;CA;;;JA;Ø15;knel;
0;;Keuken;Boiler;Inlaat C,;;;JA;Ø15;knel;
9;;Keuken;koffieapparaat;EA;;;JA;Ø15;knel;
10;;Keuken;koffieapparaat;EA;;;JA;Ø15;schroef;
0;;Achter bar onder spoelbak;Spoelers;CA;;Onder spoelbak;JA;1/2;schroef;
11;;Opslag achter bar;vulkraan;EA;;;JA;1/2;schroef;
12;;Opslag achter bar;kw kraan;EA;;;JA;1/2;knel;
13;;Opslag achter bar;BSH;EA;;;JA;Ø22;;
14;;Opslag achter bar;kw kraan;BA;;;JA;;;
15;;Harmonie zaal;BSH;CA;;;JA;Ø22;knel;
16;;Harmonie zaal;kw kraan;EA;;;JA;1/2;schroef;
17;;Gang achter zaal;BSH;;;;NEE;;;
18;;Gang kleine zaal achter;BSH;;;;NEE;;;
19;;Bar kleine zaal;kw kraan;EA;;;JA;1/2;schroef;
20;;Bar kleine zaal;kw kraan;EA;;;JA;1/2;schroef;
21;;Bar kleine zaal achter;boiler;EA;;;JA;Ø15;knel;
22;;WC kleine zaal;vulkraan;EA;;;JA;3/4;schroef;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
