;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Huis en Erf;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Berlerode;;;Week: Oktober, 2015;;;;;;
Adres: Kloosterhof 8, Berlicum;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.H.;Hydrofoor ruimte;Brandslanghaspels;EA;Aan verdeler;a;Ø42;Pers;
2;B.G.;Bij hal liften P.G.;Gevelkraan;EA;In kruipruimte;a;Ø15;;
3;B.G.;Bij restaurant;Gevelkraan;EA;In kruipruimte;a;Ø15;;
4;B.G.;Keuken voorbereiding;Handwasbak kw;EA;Onder wasbak;a;3/8";Schroef;
5;B.G.;Keuken voorbereiding;Handwasbak ww;EA;Onder wasbak;a;3/8";Schroef;
6;B.G.;Afwas keuken;Handwasbak kw;EA;Onder wasbak;a;3/8";Schroef;
7;B.G.;Afwas keuken;Handwasbak ww;EA;Onder wasbak;a;3/8";Schroef;
8;B.G.;Afwas keuken;Slanghaspel;EA;Aan mengkraan;a;3/4";Schroef;
9;B.G.;Afwas keuken;Spoelkraan kw;EA;Onder werkblad;a;3/8";Schroef;
10;B.G.;Afwas keuken;Spoelkraan ww;EA;Onder werkblad;a;3/8";Schroef;
11;B.G.;Ontvangst goederen;Handwasbak kw;EA;Onder wasbak;a;3/8";Schroef;
12;B.G.;Ontvangst goederen;Handwasbak ww;EA;Onder wasbak;a;3/8";Schroef;
13;B.G.;Bij buitendeur goederen;Gevelkraan;EA;In kruipruimte;a;Ø15;;
14;2e ;Wasruimte 10 D;Waterontharder;RAM EA;Tegen plafond;a;Ø22;Knel;
15;3e ;Ketelhuis dakopbouw;CV Vulkraan;RAM EA;Naast boiler;a;Ø15;Knel;
16;2e;Wasruimte 10 D;Waterontharder;CA;Achter Ontharder;a;3/4'';Schroef;
17;B.G.;Koffie corner;Koffieautomaat;EA;Achter kast;a;3/4'';Schroef;
18;B.G.;Keuken;Steamer links;EA;Achter steamer L;a;3/4'';Schroef;
19;B.G.;Keuken;Steamer Rechts;EA;Achter steamer R;a;3/4'';Schroef;
20;B.G.;Keuken;Waterontharder;CA;Naast ontharder;a;3/4'';Schroef;
21;B.G.;Keuken voorbereiding;Mengkraan KW;EA;Onder werkblad;a;3/8'';Schroef;
22;B.G.;Keuken voorbereiding;Mengkraan WW;EA;Onder werkblad;a;3/8'';Schroef;
23;B.G.;Spoelkeuken;Waterontharder;CA;Onder werkblad;a;3/4'';Schroef;
24;3e ;Ketelhuis;Voeding Boiler;Inlaat C.;Naast boiler;a;ø22;Knel;
25;3e ;Ketelhuis;Voeding KW;RAM EA;Naast boiler;a;ø28;Pers;
26;B.G.;Hydrofoor ruimte;Voeding Type A;RAM EA;Aan verdeler;a;ø35;Pers;
27;B.G.;Hydrofoor ruimte;Voeding PG;RAM EA;Aan verdeler;a;ø35;Pers;
28;B.G.;Hydrofoor ruimte;Hydrofoor PG L;EA;Aan perszijde L;a;1'';Schroef;
29;B.G.;Hydrofoor ruimte;Hydrofoor PG R;EA;Aan perszijde R;a;1'';Schroef;
30;B.G.;Hydrofoor ruimte;Hydrofoor type B L;EA;Aan perszijde L;a;1'';Schroef;
31;B.G.;Hydrofoor ruimte;Hydrofoor type B R;EA;Aan perszijde R;a;1'';Schroef;
32;B.G.;Werkkast;Boiler;Inlaat C.;Onder Boiler;a;ø15;Knel;
33;B.G.;App. 4A;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
34;B.G.;App. 4A;Watermeter;EA;In Meterkast;a;ø15;Knel;
35;B.G.;App. 4B;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
36;B.G.;App. 4B;Watermeter;EA;In Meterkast;a;ø15;Knel;
37;1e;App. 5A;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
38;1e;App. 5A;Watermeter;EA;In Meterkast;a;ø15;Knel;
39;1e;App. 5B;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
40;1e;App. 5B;Watermeter;EA;In Meterkast;a;ø15;Knel;
41;1e;App. 5C;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
42;1e;App. 5C;Watermeter;EA;In Meterkast;a;ø15;Knel;
43;1e;App. 5D;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
44;1e;App. 5D;Watermeter;EA;In Meterkast;a;ø15;Knel;
45;1e;App. 5E;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
46;1e;App. 5E;Watermeter;EA;In Meterkast;a;ø15;Knel;
47;1e;App. 5F;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
48;1e;App. 5F;Watermeter;EA;In Meterkast;a;ø15;Knel;
49;1e;App. 5G;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
50;1e;App. 5G;Watermeter;EA;In Meterkast;a;ø15;Knel;
51;1e;App. 5H;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
52;1e;App. 5H;Watermeter;EA;In Meterkast;a;ø15;Knel;
53;2e ;App. 6A;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
54;2e;App. 6A;Watermeter;EA;In Meterkast;a;ø15;Knel;
55;2e;App. 6B;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
56;2e;App. 6B;Watermeter;EA;In Meterkast;a;ø15;Knel;
57;2e;App. 6C;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
58;2e;App. 6C;Watermeter;EA;In Meterkast;a;ø15;Knel;
59;2e;App. 6D;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
60;2e;App. 6D;Watermeter;EA;In Meterkast;X;ø15;Knel;
61;2e;App. 6E;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
62;2e;App. 6E;Watermeter;EA;In Meterkast;a;ø15;Knel;
63;2e;App. 6F;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
64;2e;App. 6F;Watermeter;EA;In Meterkast;a;ø15;Knel;
65;2e;App. 6G;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
66;2e;App. 6G;Watermeter;EA;In Meterkast;a;ø15;Knel;
67;2e;App. 6H;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
68;2e;App. 6H;Watermeter;EA;In Meterkast;a;ø15;Knel;
69;3e ;App. 7A;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
70;3e ;App. 7A;Watermeter;EA;In Meterkast;a;ø15;Knel;
71;3e ;App. 7B;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
72;3e ;App. 7B;Watermeter;EA;In Meterkast;a;ø15;Knel;
73;3e ;App. 7C;CV Ketel;Inlaat C.;Onder Ketel;a;ø15;Knel;
74;3e ;App. 7C;Watermeter;EA;In Meterkast;a;ø15;Knel;
