;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Joachim & Anna;;Datum:;Week 20 2015;;;;;Blusdekens;;
Adres:;Groesbeekseweg 327, Nijmegen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang;Ajax;BSH 20m;Water;2003;2013;26 l/min;a;;;
2;Achter receptie;Simplus;UPA-6R;Schuim;2014;;;a;;;
3;Technische ruimte H 0.1;Simplus;UPA-6R;Schuim;2015;;;a;;;
4;Tegenover technische ruimte H 0.1;Ajax;BSH 25m;Water;1996;2012;28 l/min;a;;;
5;Bij technische ruimte 43;Ajax;BSH 25m;Water;1996;;26 l/min;a;;;
6;In technische ruimte 43;Simplus;UPA-6R;Schuim;2015;;;a;;;
7;Gang bij keukentje;Ajax;BSH 25m;Water;1996;;28 l/min;a;;;
8;Gang bij kamer 07;Ajax;BSH 25m;Water;1996;;32 l/min;a;;;
9;Gang bij kamer 07;Simplus;UPA-6R;Schuim;2014;;;a;;;
10;Gang bij kamer 22;Ajax;BSH 20m;Water;1995;;28 l/min;a;;;
11;Eekhoorn kamer 33;Ajax;BSH 20m;Water;1995;;28 l/min;a;;;
12;Eekhoorn kamer 33;Simplus;UPA-6R;Schuim;2014;;;a;;;
13;Eekhoorn bij kamer 58;Simplus;BSH 20m;Water;2013;;32 l/min;a;;;
14;Pimpelmees tegenover kamer 12;Ajax;BSH 20m;Water;1995;;32 l/min;a;;;
16;Pimpelmees tegenover kamer 12;Simplus;UPA-6R;Schuim;2014;;;a;;;
17;Pimpelmees tegenover kamer 24;Ajax;BSH 20m;Water;2003;2013;;a;;;
18;De brug tegenover kamer 39;Ajax;BSH 20m;Water;1995;;32 l/min;a;;;
20;De brug technische ruimte 39;Simplus;UPA-6R;Schuim;2015;;;a;;;
21;De brug kamer 29;Ajax;BSH 20m;Water;1995;;30 l/min;a;;;
22;De brug kamer 29;Simplus;UPA-6R;Schuim;2015;;;a;;;
23;De brug kamer 56;Ajax;BSH 20m;Water;1995;;28 l/min;a;;;
24;Bij winkeltje;Ajax;BSH 25m;Water;1996;;28 l/min;a;;;
25;Keuken achter winkeltje;Simplus;UPA-6R;Schuim;2014;;;a;;;
26;Ketelhuis;Simplus;UPA-6R;Schuim;2014;;;a;;;
27;Ketelhuis;Simplus;UPA-6R;Schuim;2014;;;a;;;
28;Ketelhuis;Simplus;UPA-6R;Schuim;2014;;;a;;;
28a;Ketelhuis;Simplus;SK5;CO2;2015;;;a;;;
29;Bij keuken linnenkamer;Ajax;BSH 20m;Water;2003;2013;36 l/min;a;;;
30;Bij keuken linnenkamer;Simplus;UPA-6R;Schuim;2014;;;a;;;
31;Keuken achter;Ajax;BSH 20m;Water;2003;2013;34 l/min;a;;;
32;Keuken achter;Simplus;UPA-6R;Schuim;2014;;;a;;;
33;Keuken achter;Simplus;UPA-6R;Schuim;2014;;;a;;;
34;Restaurant;Ajax;BSH 20m;Water;2003;2013;36 l/min;a;;;
35;Restaurant;Simplus;F 060;Schuim;2014;;;a;;;
36;Lift bij keuken;Ajax;BSH 20m;Water;2003;2013;34 l/min;a;;;
37;Gang de Linde;Ajax;BSH 20m;Water;2003;2013;36 l/min;a;;;
38;Technische ruimte 40;Simplus;UPA-6R;Schuim;2015;;;a;;;
39;Gang hospice;Ajax;BSH 20m;Water;2003;2013;36 l/min;a;;;
40;Gang tegenover 42;Ajax;BSH 20m;Water;2003;2013;36 l/min;a;;;
41;Gang Eik tegenover 39;Ajax;BSH 20m;Water;2003;2013;34 l/min;a;;;
42;Gang Kastanje;Ajax;BSH 20m;Water;20069;2013;34 l/min;a;;;
43;Gang Kastanje;Simplus;UPA-6R;Schuim;2014;;;a;;;
44;Gang tegenover huiskamer 1;Ajax;BSH 20m;Water;2003;2013;34 l/min;a;;;
45;Gang tegenover kamer 71;Ajax;BSH 20m;Water;2003;2013;32 l/min;a;;;
46;Gang tegenover kamer 66;Ajax;BSH 20m;Water;2003;2013;32 l/min;a;;;
47;Technische dienst lift bij infotheek;Simplus;UPA-6R;Schuim;2015;;;a;;;
48;Gang bij 0.4;Ajax;BSH 20m;Water;1996;;32 l/min;a;;;
49;Technische dienst 1e verdieping;Berki;2K;CO2;1998;;;a;;;
50;Technische dienst 1e verdieping;Simplus;UPA-6R;Schuim;2014;;;a;;;
51;Technische dienst 1e verdieping;Simplus;UPA-6R;Schuim;2014;;;a;;;
52;Technische dienst 1e verdieping;Ajax;BSH 20m;Water;1995;2013;28 l/min;a;;;
53;Gang Harp bij 0.7;Ajax;BSH 20m;Water;1995;;26 l/min;a;;;
54;Gang Harp bij 0.7;Simplus;UPA-6R;Schuim;2014;;;a;;;
55;Gang Harp bij 20;Ajax;BSH 20m;Water;1995;2014;26 l/min;a;;;
56;Gang naar kapsalon;Ajax;BSH 20m;Water;1995;;28 l/min;a;;;
57;Gang Klarinet bij 33;Ajax;BSH 20m;Water;1995;;28 l/min;a;;;
58;Gang Klarinet bij 33;Simplus;UPA-6R;Schuim;2014;;;a;;;
59;Gang Klarinet bij 54;Ajax;BSH 20m;Water;;;28 l/min;a;;;
60;Gang bij tandarts;Ajax;BSH 20m;Water;1996;;28 l/min;a;;;
61;Kapsalon;Simplus;UPA-6R;Schuim;2014;;;a;;;
62;Waterlelie bij 07;Ajax;BSH 20m;Water;1995;;26 l/min;a;;;
63;Waterlelie bij 07;Simplus;UPA-6R;Schuim;2014;;;a;;;
64;Waterlelie bij 22;Ajax;BSH 20m;Water;1995;;28 l/min;a;;;
65;Gang technische ruimte 43;Ajax;BSH 20m;Water;1995;2013;28 l/min;a;;;
66;Gang Iris bij 33;Ajax;BSH 20m;Water;1995;;26 l/min;a;;;
67;Gang Iris bij 33;Simplus;UPA-6R;Schuim;2014;;;a;;;
68;Gang Iris bij 58;Ajax;BSH 20m;Water;1995;;26 l/min;a;;;
69;Gang fysio;Ajax;BSH 20m;Water;1996;;28 l/min;a;;;
70;Gang linnenberging;Ajax;BSH 20m;Water;2003;2013;32 l/min;a;;;
71;Tegenover badkamer Jasmijn;Simplus;UPA-6R;Schuim;2014;;;a;;;
72;Tegenover Jasmijn 38;Ajax;BSH 20m;Water;2003;2013;36 l/min;a;;;
73;Tegenover huiskamer;Ajax;BSH 20m;Water;2003;2015;34 l/min;a;;;
74;Jasmijn bij 17;Ajax;BSH 20m;Water;2003;2012;34 l/min;a;;;
75;Technische ruimte bij 46;Simplus;UPA-6R;Schuim;2015;;;a;;;
76;Tegenover huiskamer 45;Ajax;BSH 20m;Water;2003;2013;36 l/min;a;;;
77;Sering bij 53;Ajax;BSH 20m;Water;2003;2013;36 l/min;a;;;
78;Sering bij 48;Ajax;BSH 20m;Water;2003;2013;34 l/min;a;;;
79;Kapel;Ajax;BSH 20m;Water;1996;;34 l/min;a;;;
80;Kapel;Simplus;UPA-6R;Schuim;2014;;;a;;;
81;2e verd. gang;Simplus;UPA-6R;Schuim;2014;;;a;;;
82;2e verd. gang bij 07;Ajax;BSH 20m;Water;1996;;30 l/min;a;;;
83;2e verd. gang bij 07;Simplus;UPA-6R;Schuim;2014;;;a;;;
84;BG bij BSH 4 in lokaal;Simplus;UPA-6R;Schuim;2014;;;a;;;
85;De Boog;Ajax;BSH 20m;Water;2009;2015;28 l/min;a;;;
86;De Boog;BSC;EFS-6;Schuim;2015;;;a;Oude was aan datum.;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
